Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
1688,Normal/Others,WS/MP18335/2024-2025/152934,"Construction of roads, link roads, pathways or any other road with or without drainage system",CC Road Construction Work,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),False,2025-04-25,799958.0
1689,Normal/Others,WS/MP18335/2024-2025/150804,Construction of community centers and community halls,Construction of Community building,Chhattisgarh,Sarangarh-Bilaigarh,Collector SB,RADHE SHYAM RATHIYA,RAIGARH(ST),True,2026-07-11,998398.0
1690,Normal/Others,WS/MP429/2024-2025/156835,Construction of additional rooms and halls in the existing public and community building,"Prayer Room/Shed construction at Primary School at Gram Panchayat - Nirdhi , Vikas Khand - Pali",Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2026-08-11,299975.0
1691,Normal/Others,WS/MP18048/2024-2025/145575,Construction of culverts and bridges,gram dhodra me 02 metre span puliya nirman karya,Chhattisgarh,SUKMA,Collector Sukma,MAHESH KASHYAP,BASTAR(ST),True,2025-10-17,673990.0
1692,Normal/Others,WS/MP18048/2024-2025/145567,Construction of community centers and community halls,gram panchayat budadi me rashan dukan hetu bhavan nirman karya,Chhattisgarh,SUKMA,Collector Sukma,MAHESH KASHYAP,BASTAR(ST),True,2025-11-26,485801.0
1693,Normal/Others,WS/MP18161/2024-2025/136673,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc / interlocking sadak nirman karya moti ka nagla chauraha se bhagchand ke ghar ki taraf gram Doroli work agency- g p Doroli,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-02-12,494356.0
1694,Normal/Others,WS/MP18161/2024-2025/136674,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc / interlocking sadak nirman karya kaare khan ke ghar se sandoli road ki taraf gram patwari ka nagla Chainpura work agency- g p Doroli,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-02-12,494706.1
1695,Normal/Others,WS/MP18161/2024-2025/138071,Installing hand pumps,Sarvjanik handpump Nirman karya school wala Mandir ke pass gram Hulyana work agency GP tikri,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-07-08,99296.0
1696,Normal/Others,WS/MP18161/2024-2025/136671,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc / interlocking sadak nirman karya shamshan ghat se beej godam ki taraf jatav mohalla gram -Rampura work agency- GP Bahrampur,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-04-23,598129.0
1697,Normal/Others,WS/MP18161/2024-2025/136672,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc / interlocking sadak nirman karya prakash meena ke ghar se pwd sadak ki taraf gram -Govind Pura work agency- gp Bahrampur,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-04-23,394314.0
1698,Normal/Others,WS/MP18253/2024-2025/141438,Installing tube-wells and borewells,"Sinking of tubewell at Sitarampur near Rabindranath Jana house.Dag No-826,JL No-7",West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,BAPI HALDAR,MATHURAPUR(SC),False,2025-01-02,221021.0
1699,Normal/Others,WS/MP435/2024-2025/145624,Construction of public staircase/ stair ghat for public convenience,"Construction of Stair at Chat Ghat at Village-Malmandu under Puriyo Panchayat, Ratu block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,1050200.0
1700,Normal/Others,WS/MP435/2024-2025/145629,Construction of common work sheds/ common covered sitting area,Construction of Shed at Crematorium at Badka Pond at Simliya village under Simliya panchayat under Ratu Block.,Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,463600.0
1701,Normal/Others,WS/MP435/2024-2025/145627,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road form Chandan Singh's house, through the house of Basant Sahu's house via Nitin Singh's house at village Basant Vihar colony under Pandra panchayat, Ratu block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,829500.0
1702,Normal/Others,WS/MP435/2024-2025/145628,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road form Vijay Sahu's house via Shivra Oraon's house at ward no.-33, Pandra ranka Toli.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,686000.0
1703,Normal/Others,WS/MP435/2024-2025/145826,Construction of common work sheds/ common covered sitting area,"Construction of a Stage at Bhagwan Birsa Munda Adivasi Akhada (Palestra) under Sukurhuttu Panchayat Niche Toli, kanke Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,984400.0
1704,Normal/Others,WS/MP435/2024-2025/145827,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Paver Block road at Sasanbera from near Mandir via Pepro Dah Chhat Ghat under Rajadera Panchayat.,Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,636200.0
1705,Normal/Others,WS/MP435/2024-2025/145843,"Construction of roads, link roads, pathways or any other road with or without drainage system","Constructiion of PCC Road (300 ft.) at Benti, form Madhupur School via Goga Munda's house under Bisa Panchayat, Angara Blok.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-23,557100.0
1706,Normal/Others,WS/MP435/2024-2025/145838,Construction of common work sheds/ common covered sitting area,"Construction of Dashkarma Shed at Village Paika under Paika Panchayat, Angara Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,463600.0
1707,Normal/Others,WS/MP435/2024-2025/145841,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road and Guardwall at Village Hesal from Near Government School via Chota Talaab (Pond) (Dashkarma Ghat) under Hesal Panchayat, Angara Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,680200.0
1708,Normal/Others,WS/MP435/2024-2025/145842,Construction of common work sheds/ common covered sitting area,"Construction of Dashkarma Shed at Getalsud, near Munda Toli under Getalsud Panchayat, Angara Block..",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,463600.0
1709,Repair and Renovation,WS/MP485/2024-2025/136156,Construction of rooms and halls in school and colleges,"Renovation of Jibantala Rokeya Mahavidyalay, G.P-Sarengabad",West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,Pratima Mondal,JOYNAGAR(SC),False,2025-07-24,997833.0
1710,Normal/Others,WS/MP435/2024-2025/145862,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road (400 ft.) at Village Kumharia, near Devi Mandap, under Sataknadu Panchayat, kanke Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,642000.0
1711,Normal/Others,WS/MP435/2024-2025/145861,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Paver Block Road at Doranda Bazaar Mohalla from Umesh pandit's House via Vishnu Ghosh's house.,Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,377300.0
1712,Normal/Others,WS/MP435/2024-2025/145868,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road at Manitola, Doranda from Atwa Oraon's house via Pathar Road, kali Mandir.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,451900.0
1713,Normal/Others,WS/MP435/2024-2025/145869,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road at Hinoo, ranchi, Bal mandir School road, Near Bihari Club.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,316800.0
1714,Normal/Others,WS/MP435/2024-2025/145969,Construction of common work sheds/ common covered sitting area,Construction of Platform and Shed at Chakla Sarna Toli under Ormanjhi Block.,Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,984400.0
1715,Normal/Others,WS/MP435/2024-2025/145968,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road at village Baghmara from School via Charku Mahto's house under Sadma panchayat, Ormanjhi Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-11-30,642700.0
1716,Normal/Others,WS/MP435/2024-2025/145996,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road through main Road, Brajesh Singh's house  via Arvind Pandey's house at SAIL City road (Hanuman Nagar, New Pundag, Road No.-4), Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-11-30,596600.0
1717,Normal/Others,WS/MP435/2024-2025/145967,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road at village Kamta from Jhanku Mahto's house through Surendra Nath Mahto via Mahavir Mandir road under Kucchu panchayat, Ormanjhi Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,422800.0
1718,Normal/Others,WS/MP435/2024-2025/145971,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road (600 ft.) at JP Market, Dhurwa from near both side Guriya's house while mixing main road.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,686000.0
1719,Normal/Others,WS/MP435/2024-2025/145998,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from Shankar Mehta's house through Vinay's Singh's house via Diwali Sharma's house at Kali Nagar under Bargawan Panchayat, namkum, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-23,579900.0
1720,Normal/Others,WS/MP435/2024-2025/145972,Providing drains and gutters for public drainage,"Construction of Drain (425 ft.) in front of the oilman's house at Sakhua bagan, Dhurwa.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,685500.0
1721,Normal/Others,WS/MP18181/2024-2025/151262,Construction of bus-sheds or bus-stops,"Construction of Passenger Shelter in Emmegoundanpalayam Village, near Rasukutti thottam, Chettikapalayam Panchayat.",Tamil Nadu,COIMBATORE,DISTRICT COLLECTOR COIMBATORE,ESWARASAMY K,POLLACHI,True,2025-02-25,470495.0
1722,Normal/Others,WS/MP435/2024-2025/145999,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from Shiv Mandir via Subhash Singh's house at kali Nagar, Namkum.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,586100.0
1723,Normal/Others,WS/MP640/2024-2025/149325,Construction of boundary walls of existing public and community buildings,"Construction of Boundary wall & Maharana pratap samudayik bhawan deori road, chhapara",Madhya Pradesh,SEONI,District Collector Seoni,Faggan Singh Kulaste,MANDLA(ST),True,2025-03-21,999960.0
1724,Normal/Others,WS/MP435/2024-2025/146000,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road near Rahul Singh's house at ward-34, Ganga Nagar (Sai City), Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-11-30,657700.0
1725,Normal/Others,WS/MP435/2024-2025/146001,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from Umashankar Prasad's via Churi Wali's house at Ward-49, Saket Nagar, Hinoo, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-11-30,608900.0
1726,Normal/Others,WS/MP435/2024-2025/146454,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from Kuila Bedia's house via Swarnrekha River at Barwa Toli, Village-Rangamati under Angara Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,454400.0
1727,Normal/Others,WS/MP716/2024-2025/139171,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Interlock Street & Both Side Drains House From Gurnam singh s/o bhag singh to gurjant singh s/o Mukhtiyar Singh House,Punjab,MANSA,DEPUTY COMMISSIONER MANSA,Smt Harsimrat Kaur Badal,BHATINDA,True,2025-08-28,350000.0
1728,Normal/Others,WS/MP435/2024-2025/146450,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road near Nutan Apartment at Pragati Path, Jayprakash Nagar under Ward-06, Ranchi",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,585200.0
1729,Normal/Others,WS/MP435/2024-2025/146449,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from near Kathal More, NH-23 via Suman Kumar's house at Dev Nagar, Kathal More, under Ward-13, Ranchi",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,686300.0
1730,Normal/Others,WS/MP435/2024-2025/146300,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road from Lochan Nayak's house via sudhir Kumar's house at ward-49, Saket Nagar, Hinoo, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,295300.0
1731,Normal/Others,WS/MP435/2024-2025/146299,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road from Arun Jha's house via Gauri Prasad's house at ward-49, Saket Nagar, Hinoo, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2026-04-03,283200.0
1732,Normal/Others,WS/MP435/2024-2025/146301,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road from Parmwshwar Ji's house via Puran Ji's house at Shivpuri, Road No-7, Hotwasi Panchayat under Nagri Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-23,472000.0
1733,Normal/Others,WS/MP435/2024-2025/146302,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road from Dinesh Pramanik's house via Ajit Singh's house at Shivpuri, Road No-4, Hotwasi Panchayat under Nagri Block.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-11-30,340700.0
1734,Normal/Others,WS/MP435/2024-2025/146544,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC Road from Kaushal's house via Khushi's house under ward-5, Ekta Nagar basti, Booty More, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,972800.0
1735,Normal/Others,WS/MP435/2024-2025/160713,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road from Deepak Oraon's house via Arena (Akhara) to the house of Bihari Oraon at Hehal, Pawa Toli, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-20,1396300.0
1736,Normal/Others,WS/MP435/2024-2025/160714,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of PCC road near Sukhram Bedia's house at Village Khabhawan under Kuchu Panchayat, Angara Block, Ranchi.",Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,Sanjay Seth,RANCHI,False,2025-07-23,644900.0
1737,Normal/Others,WS/MP381/2024-2025/153012,Construction of rooms and halls in school and colleges,CONSTRUCTION OF MULTIPURPOSE HALL AT SCHOOL OF EMINANCE KARAM PURA E BLOCK RANJIT AVENUE ASR,Punjab,AMRITSAR,DEPUTY COMMISSIONER AMRITSAR,Shri Gurjeet Singh Aujla,AMRITSAR,False,2025-01-02,492600.0
1738,Normal/Others,WS/MP18161/2024-2025/136228,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc/interlocking sadak with nali nirman karya jaggi ke makan se shamshan ghat ki taraf gram garoo,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-01-16,494264.0
1739,Normal/Others,WS/MP18155/2024-2025/158162,Installing tube-wells and borewells,Repair of Irrigation Tubewell,Punjab,HOSHIARPUR,DEPUTY COMMISSIONER HOSHIARPUR,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),False,2025-12-31,200000.0
1740,Normal/Others,WS/MP18161/2024-2025/136229,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc/interlocking sadak with nali nirman karya kuaa se ramkhiladi  ki taraf gram garoo,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-01-16,755904.0
1741,Normal/Others,WS/MP858/2024-2025/139547,Providing drains and gutters for public drainage,"Construction of concrete drain from MUKTI MONDAL house to KANTI MONDAL house. at khala, Executing Agency will be EO NANOOR PANCHATY SAMITI.",West Bengal,BIRBHUM,DISTRICT MAGISTRATE BIRBHUM,Asit Kumar Mal,BOLPUR(SC),True,2025-03-03,1024370.0
1742,Normal/Others,WS/MP18161/2024-2025/136230,Lighting of public spaces,sarwjanik high maast light lagane ka karya gram garoo,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-05-12,489289.0
1743,Normal/Others,WS/MP18354/2024-2025/160739,Construction of culverts and bridges,GRAM PANCHAYAT LALITPUR JANGALPARA PAHUNCH MARG ME PULIYA,Chhattisgarh,SURGUJA,Collector Surguja,CHINTAMANI MAHARAJ,SARGUJA(ST),True,2025-10-16,500000.0
1744,Normal/Others,WS/MP429/2024-2025/155509,Construction of common work sheds/ common covered sitting area,"Shed and manch construction at Gram Panchayat - Jhabar , Vikaskhand - Pendra",Chhattisgarh,Gaurela-Pendra-Marwahi,Collector GPM,Jyotsna Charandas Mahant,KORBA,True,2026-03-10,500000.0
1745,Normal/Others,WS/MP18161/2024-2025/136668,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc / interlocking sadak with nali nirman karya ambedkar bhavan se ramjilal jatav ke ghar ki taraf gram -Gahalawata work agency- GP Kuttin sahabdas,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-01-28,998242.0
1746,Normal/Others,WS/MP18161/2024-2025/136669,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,shamshan ghat ki chardiwari with gate v anya vikas karya gram -Gahalawata work agency- GP Kuttin sahabdas,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-01-23,493994.0
1747,Normal/Others,WS/MP18161/2024-2025/136232,"Construction of roads, link roads, pathways or any other road with or without drainage system",cc/interlocking sadak with nali nirman karya rajesh ramprasad ke ghar se moharsingh jatav v makkhan ke ghar ki taraf gram gahlawata,Rajasthan,ALWAR,DISTRICT COLLECTOR ALWAR,SANJNA JATAV,BHARATPUR(SC),True,2025-01-22,594786.0
1748,Normal/Others,WS/MP18338/2024-2025/152358,Street lights,PROVIDING OF STREET LIGHTS IN BHEEMANAPALLY VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-01-02,99855.0
1749,Normal/Others,WS/MP18338/2024-2025/152359,Street lights,PROVIDING OF STREET LIGHTS IN DANTHURU VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-01-02,99855.0
1750,Normal/Others,WS/MP18338/2024-2025/152361,Street lights,PROVIDING OF STREET LIGHTS IN DHARMAREDDYPALLY VILLAGE,Telangana,YADADRI BHUVANAGIRI,DISTRICT COLLECTOR YADADRI BHUVANAGIRI,CHAMALA KIRAN KUMAR REDDY,BHONGIR,False,2025-01-02,99855.0
